Engine RPM(rpm),Horsepower (At the wheels)(hp),Miles Per Gallon(Instant)(mpg),Litres Per 100 Kilometer(Instant)(l/100km)
665.5,0.07,0.65,432.71
724.5,0.17,1.31,215.26
696.75,0.17,1.52,186.02
734.5,0.17,0.74,381.18
709.75,0.35,1.4,201.55
661.0,0.39,1.48,190.59
669.0,0.39,2.31,122.19
820.5,0.34,2.41,117.31
860.75,1.52,3.4,83.14
857.75,1.52,3.37,83.93
869.75,1.52,2.8,100.72
927.5,-,3.22,87.71
738.25,-,1.39,203.75
656.0,-,0.72,392.87
813.25,1.21,2.64,106.99
844.0,0.46,2.97,95.02
845.5,0.46,3.09,91.37
831.0,0.46,2.6,108.73
793.0,-,2.01,140.83
754.5,-,0.73,389.22
778.75,-,1.77,159.83
842.5,3.34,8.8,32.12
885.0,3.34,8.76,32.25
913.25,3.19,8.72,32.4
915.5,3.19,9.64,29.3
877.75,3.19,9.69,29.15
858.0,-,9.59,29.47
802.0,-,9.82,28.76
780.75,-,9.35,30.21
794.75,-,6.98,40.49
882.25,3.15,7.4,38.17
954.75,4.86,7.9,35.77
966.25,4.86,9.67,29.2
1015.25,4.86,9.63,29.35
1056.0,2.25,9.08,31.12
1100.5,2.99,7.19,39.26
1143.25,2.44,8.87,31.86
1099.0,2.44,9.77,28.9
1032.5,2.44,10.37,27.23
996.5,-,9.67,29.2
1015.5,2.21,9.2,30.72
1044.5,2.21,8.77,32.2
1077.0,2.21,8.22,34.37
1132.25,2.24,7.72,36.6
1151.5,6.06,7.85,35.96
1210.25,2.4,9.31,30.35
1214.0,2.4,6.56,43.09
1226.0,2.4,9.31,30.35
1078.0,-,11.18,25.26
981.0,-,11.59,24.36
929.5,-,11.17,25.3
781.0,-,10.67,26.47
793.5,-,6.99,40.42
949.75,-,6.15,45.94
948.5,3.52,7.38,38.25
940.25,3.52,9.88,28.6
863.75,3.52,11.17,25.3
865.75,-,10.6,26.66
868.5,-,10.0,28.25
876.0,-,10.05,28.12
811.25,-,10.37,27.25
865.0,-,7.89,35.82
933.25,3.6,8.53,33.11
937.5,3.6,8.37,33.74
964.0,2.69,8.07,35.02
998.5,2.69,8.99,31.43
1013.0,2.38,9.84,28.71
1054.25,2.38,9.2,30.72
1077.75,2.63,8.45,33.43
1161.75,5.14,7.88,35.87
1202.75,5.14,10.27,27.5
1224.5,5.14,8.54,33.07
